2024-01-03 12:44:21,212 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-01-03 12:44:21,278 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-01-03 12:44:21,281 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-01-03 12:44:21,282 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-01-03 12:44:21,306 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-01-03 12:44:21,307 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-01-03 12:44:21,310 INFO  SwAddin.cs: 201 - Setting up command manager
2024-01-03 12:44:21,311 INFO  SwAddin.cs: 204 - Adding command manager
2024-01-03 12:44:21,316 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-01-03 12:44:21,318 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-01-03 12:44:21,318 INFO  SwAddin.cs: 210 - Adding event handlers
2024-01-03 12:44:21,428 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-01-03 13:44:27,220 INFO  SwAddin.cs: 294 - Assembly export called for file Рама.SLDASM
2024-01-03 13:44:27,223 INFO  SwAddin.cs: 299 - Save is required
2024-01-03 13:44:27,223 INFO  SwAddin.cs: 313 - Saving assembly
2024-01-03 13:44:27,711 INFO  SwAddin.cs: 316 - Opening property manager
2024-01-03 13:44:27,741 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Рама.SLDASM
2024-01-03 13:44:27,747 INFO  ExportHelperExtension.cs: 1136 - Found 39 in Рама.SLDASM
2024-01-03 13:44:27,748 INFO  ExportHelperExtension.cs: 1145 - Found 5 features of type [CoordSys] in Рама.SLDASM
2024-01-03 13:44:27,748 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-01-03 13:44:27,749 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-01-03 13:44:27,750 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Рама.stp-1
2024-01-03 13:44:27,750 INFO  ExportHelperExtension.cs: 1136 - Found 41 in Рама.stp-1
2024-01-03 13:44:27,751 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Рама.stp-1
2024-01-03 13:44:27,751 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Рама.SLDASM
2024-01-03 13:44:27,752 INFO  ExportHelperExtension.cs: 1136 - Found 39 in Рама.SLDASM
2024-01-03 13:44:27,752 INFO  ExportHelperExtension.cs: 1145 - Found 8 features of type [RefAxis] in Рама.SLDASM
2024-01-03 13:44:27,752 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-01-03 13:44:27,753 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2024-01-03 13:44:27,753 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Рама.stp-1
2024-01-03 13:44:27,753 INFO  ExportHelperExtension.cs: 1136 - Found 41 in Рама.stp-1
2024-01-03 13:44:27,754 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Рама.stp-1
2024-01-03 13:44:27,993 INFO  SwAddin.cs: 339 - Loading config tree
2024-01-03 13:44:27,997 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-01-03 13:44:28,001 INFO  SwAddin.cs: 344 - Showing property manager
2024-01-03 13:47:37,213 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-01-03 13:48:44,267 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-01-03 13:48:44,617 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-01-03 13:48:44,984 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-01-03 13:48:45,257 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2024-01-03 13:49:20,999 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
